smiles	molid
CC(=O)CCN(C)C	mol212
CCOC(=O)CCN	mol213
COCCCN(C)C	mol214
FC1(F)CCNCC1	mol215
FC1(F)CCCNC1	mol216
CC1CCN2CCCC12	mol217
CN(C)CCCCC#N	mol218
NCCCC(F)(F)F	mol219
CN(C)CC(F)(F)F	mol220
CCCN1CCCCC1	mol221
CC(=O)N1CCNCC1	mol222
CC(=O)CCCN(C)C	mol223
CC(=O)OCCN(C)C	mol224
CCOC(=O)CCCN	mol225
O=S1(=O)CCNCC1	mol226
CC(=O)CC1CCCCN1	mol227
CC1(C)CCCC(C)(C)N1	mol228
CC(=O)CCCCN(C)C	mol229
CC(=O)OCCCN(C)C	mol230
CCOC(=O)CCCCN	mol231
CCCNCc1ccccc1	mol232
NCCSc1ccccc1	mol233
CC1(C)CC(=O)CC(C)(C)N1	mol234
CCOC(=O)N1CCNCC1	mol235
CC(=O)OCCCCN(C)C	mol236
CCOC(=O)CCCCCN	mol237
c1ccc(N2CCNCC2)cc1	mol238
c1ccc(N2CCNCC2)nc1	mol239
c1cnc(N2CCNCC2)nc1	mol240
NCCCSc1ccccc1	mol241
Cc1cccc(C)c1NC(=O)CN	mol242
NCCCCSc1ccccc1	mol243
NCCS(=O)(=O)c1ccccc1	mol244
CN(C)CCNC(=O)c1ccccc1	mol245
Cc1cccc(C)c1NC(=O)CCN	mol246
F[C@H]1CNCC[C@H]1Cc1ccccc1	mol247
F[C@@H]1CNCC[C@H]1Cc1ccccc1	mol248
NCCCCCSc1ccccc1	mol249
OC(CN1CCCCC1)C(F)(F)F	mol250
NCCCS(=O)(=O)c1ccccc1	mol251
NCCNS(=O)(=O)c1ccccc1	mol252
CN(C)CCCNC(=O)c1ccccc1	mol253
Cc1cccc(C)c1NC(=O)CCCN	mol254
CN(C)CCCCSc1ccccc1	mol255
NCCCCS(=O)(=O)c1ccccc1	mol256
OC(CNCc1ccccc1)C(F)(F)F	mol257
Cc1cccc(C)c1NC(=O)CCCCN	mol258
CN(C)CCCC[S+]([O-])c1ccccc1	mol259
NCCCCCS(=O)(=O)c1ccccc1	mol260
Cc1ccc(S(=O)(=O)NCCCN)cc1	mol261
CN(C)CCCCc1ccc(C(C)(C)C)cc1	mol262
Cc1cccc(C)c1NC(=O)CCCCCN	mol263
Cc1ccc(S(=O)(=O)N2CCNCC2)cc1	mol264
CN(C)CCCCS(=O)(=O)c1ccccc1	mol265
CN(C)CCCC(C)(C)c1ccc(C(C)(C)C)cc1	mol266
CN(C)C(C)(C)CCCc1ccc(C(C)(C)C)cc1	mol267
CN(C)CC(C)(C)CCc1ccc(C(C)(C)C)cc1	mol268
O=C1[C@@H]2[C@@H](CN3CCC[C@@H]23)C(=O)N1Cc1ccc(F)cc1	mol269
CCOC(=O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C(F)(F)F	mol270
CCOC(=O)[C@@H]1CN(Cc2ccccc2)CC1C(F)(F)F	mol271
O=S(=O)(CCN1CCC(Cc2ccccc2)CC1)c1ccc(O)cc1	mol272
O=C1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccccc1)N1CCC[C@@H]21	mol273
O=C1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@@H](c1ccccc1)N1CCC[C@H]21	mol274
O=S(=O)(CCN1CC[C@H](Cc2ccccc2)[C@H](O)C1)c1ccc(O)cc1	mol275
O=S(=O)(CCN1CC[C@H](Cc2ccccc2)[C@@H](O)C1)c1ccc(O)cc1	mol276
N#Cc1ccc([C@H]2[C@H]3C(=O)N(CC4=CCC(F)C=C4)C(=O)[C@H]3[C@@H]3CCCN32)cc1	mol277
c1ccc(CC2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1	mol278
COc1ccc(CN2C(=O)[C@@H]3[C@H](C2=O)[C@H](c2ccc(C#N)cc2)N2CCC[C@@H]32)cc1	mol279
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C(=O)CCN32)cc1	mol280
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@H](O)CN32)cc1	mol281
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@@H](O)CN32)cc1	mol282
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@H](O)CCN32)cc1	mol283
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1	mol284
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F	mol285
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1	mol286
N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@H](F)CN32)cc1	mol287
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@@H](F)CCN32)C=C1	mol288
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@H](F)CCN32)C=C1	mol289
FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1	mol290
FC(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1	mol291
C=C[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	mol292
CO[C@H]1C[C@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C#N)cc3)N2C1	mol293
CO[C@@H]1CCN2[C@@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C#N)cc1	mol294
CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	mol295
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@H](O)CCN32)cc1	mol296
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@@H](O)CCN32)cc1	mol297
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@@H](O)CN32)cc1	mol298
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@H](O)CN32)cc1	mol299
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F	mol300
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1	mol301
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@H](F)CCN32)cc1	mol302
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@@H](F)CCN32)cc1	mol303
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@@H](F)CN32)cc1	mol304
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@H](F)CN32)cc1	mol305
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@H](CF)[C@H]3[C@@H]3CCCN32)cc1	mol306
O=C1[C@@H]2[C@H](C(=O)N1Cc1ccccc1)[C@H](c1ccc(Br)cc1)N1CCC[C@@H]21	mol307
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1F	mol308
N#Cc1c(F)cc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F	mol309
N#Cc1cc(F)c([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1	mol310
